epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1972.34,1.60118,1.28717,0.94072,0.29873,0.24058,0.19433,0.1066,1.64792,1.30937,0.93688,0.000237412,0.000237412,0.000237412
2,3793.89,1.63115,1.30704,0.94857,0.3198,0.24544,0.19137,0.10449,1.63991,1.32219,0.93986,0.000428347,0.000428347,0.000428347
3,5025.67,1.63493,1.29204,0.94999,0.28955,0.24056,0.18911,0.09869,1.70458,1.30041,0.94424,0.000572157,0.000572157,0.000572157
4,6703.32,1.61749,1.26669,0.94248,0.31855,0.26287,0.2123,0.11474,1.61673,1.26619,0.93767,0.000501942,0.000501942,0.000501942
5,9793.9,1.60966,1.23946,0.93953,0.34944,0.2714,0.22406,0.12129,1.6017,1.22678,0.93056,0.000431256,0.000431256,0.000431256
6,12457.4,1.56145,1.18495,0.93121,0.34853,0.26053,0.22356,0.12419,1.59283,1.22528,0.93021,0.00036057,0.00036057,0.00036057
7,13814.9,1.54468,1.1574,0.92684,0.36535,0.27785,0.24344,0.13418,1.56607,1.17265,0.92905,0.000289884,0.000289884,0.000289884
8,15484.7,1.52616,1.1325,0.92192,0.36285,0.29173,0.25105,0.13886,1.54917,1.1576,0.92214,0.000219198,0.000219198,0.000219198
9,17423.7,1.5124,1.10912,0.91879,0.36741,0.2913,0.25139,0.13832,1.53696,1.1521,0.91936,0.000148512,0.000148512,0.000148512
10,18639.3,1.49734,1.08605,0.91574,0.3721,0.29212,0.25651,0.14195,1.53349,1.13879,0.91687,7.7826e-05,7.7826e-05,7.7826e-05
